Text,Label
About what proportion of the population of the US is living on farms?,Knowledge
Correctly label the brain lobes indicated on the diagram below,Knowledge
Define compound interest.,Knowledge
Define four types of traceability.,Knowledge
Define mercantilism.,Knowledge
"Define stream bank, floodplain and substrate.",Knowledge
Define the meaning of the Olympic Motto.,Knowledge
Draw and label a diagram of a typical stream.,Knowledge
Draw the basic outline of a page of notes using the Cornell Method?,Knowledge
Draw the block diagram of the central processing unit,Knowledge
Draw the flow chart of the PNK system,Knowledge
How many instructions in the instruction set of RISC computer?,Knowledge
How many kilometers from your home to the university,Knowledge
How many loop statement available in c++?,Knowledge
How many states are there in USA,Knowledge
How many years does this animal live?,Knowledge
How much data can be stored in the cach memory,Knowledge
How much did he pay for his car,Knowledge
How much is your weight,Knowledge
How much time did he took to build a house,Knowledge
How much water does an elephant drink,Knowledge
Identify a phrase as a simile,Knowledge
"Identify a property (commutative, additive, etc)",Knowledge
Identify fractions from a pictorial representation,Knowledge
Identify ordinal positions,Knowledge
Identify the correct definition of osmosis.,Knowledge
Identify the five major prophets of the Old Testament.,Knowledge
Identify the part of a eukaryotic cell.,Knowledge
Identify the standard peripheral components of a computer.,Knowledge
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),Knowledge
in which continent does the state of suriname fall,Knowledge
in which countries is arabic language spoken,Knowledge
In Which part of the world does he live,Knowledge
Label any Olympic sporting apparatus with design features.,Knowledge
Label the parts of the following insects: Grasshopper,Knowledge
Label the parts of the microscope shown on the right,Knowledge
List four types of clauses mentioned in the article,Knowledge
List reserved words in C programming.,Knowledge
List the characteristics peculiar to the Cubist movement.,Knowledge
List the levels in Bloom's Taxonomy.,Knowledge
List the procedure to draw a mixed potential or Evans' diagram,Knowledge
List the steps involved in titration.,Knowledge
List three characteristics that are unique to the Cubist movement.,Knowledge
List three predominant economic systems that exist,Knowledge
Look at the symbol. What is the symbol’s purpose on a map?,Knowledge
Make a list of facts you learned from the story.,Knowledge
Name 5 steps that follow the taking of notes (within 24 hours or less)?,Knowledge
Name the artist who painted the Mona Lisa.,Knowledge
Name the food groups and at least two items of food in each group.,Knowledge
Name the four major food groups.,Knowledge
Name the main characters in the story.,Knowledge
Name the property that states that,Knowledge
Please label the diagram below:,Knowledge
Recall basic math facts,Knowledge
Recall locations of a historical events,Knowledge
Recall the definition of the formula datatype from your assignment 2.,Knowledge
Recall the equation for the Ideal Gas Law.,Knowledge
Recall the following pictoral example of an implementation of some queue operations,Knowledge
recall the supply voltage constraints,Knowledge
Recite a policy of immigration in Europe .,Knowledge
"Recite the poem ""Auto Wreck"".",Knowledge
Recite the principles of the Data Protection Act.,Knowledge
Recite the the Gaussian law,Knowledge
State four attributes of well engineered software.,Knowledge
State how to find a word in a dictionary,Knowledge
State the characteristics of each type of corrosion testing studied,Knowledge
State the definition of application in Bloom's Taxonomy.,Knowledge
State the formula for the area of a circle,Knowledge
State the guidelines to design an anodic protection system,Knowledge
State the pattern for expressing time in French.,Knowledge
State the rule for balls and strikes in baseball.,Knowledge
State the rule for using a semicolon in a sentence.,Knowledge
What are major facts about particular cultures and societies,Knowledge
What are the major products and exports of countries,Knowledge
What are the representational symbols on maps and charts,Knowledge
What are the structure or functions of Congress,Knowledge
What are the units of corrosion penetration rates? Relate these to Faraday's law,Knowledge
What does ICT stands for.,Knowledge
What is your family name,Knowledge
What is a global variable?,Knowledge
What is a textual index,Knowledge
What is the setting of To Kill a Mockingbird?,Knowledge
What is the title of the first movie you saw,Knowledge
What season are we in right now?,Knowledge
